subject,level,total_time,total_distance,start_time,rmi
48486,3,163.364990234375,1885.7825238035598,1120.656005859375,0.25425035457023626
48486,4,178.0570068359375,1933.804902478761,1284.136962890625,0.34946107201247956
48486,5,169.48248291015625,1885.0721840721792,466.2119140625,0.3178134371723037
48486,6,109.1160888671875,1234.9068278715731,1462.2939453125,0.31917135758859394
48486,7,145.3800048828125,1672.4514282158482,635.8125,0.44217886808519935
48486,8,132.04859924316406,1506.442336726499,215.49769592285156,0.39027933023215233
48486,9,162.53179931640636,1868.2418509091285,781.3095092773436,0.17742587790536535
48486,10,176.5985107421875,2027.8089026146524,943.95751953125,0.17380417388247515
48487,1,189.718017578125,2039.114746339235,1129.489990234375,0.26774467965410365
48487,2,139.59896850585938,1482.107281162417,59.24433898925781,0.3675194465539334
48487,3,201.8610076904297,2091.3864439443187,198.95030212402344,0.4192605888768961
48487,4,212.3480224609375,2270.3764588716404,400.92529296875,0.30210044360959676
48487,5,187.49212646484375,2007.0730194214127,613.38128662109375,0.28962098808208525
48487,6,120.054931640625,1232.6849759563586,1667.3740234375,0.35634740753228966
48487,7,179.5029296875,1832.1197683476944,1487.7640380859375,0.46085126274032273
48487,8,132.63372802734375,1407.3559689138294,996.75531005859375,0.38730597634204045
48487,9,168.3289794921875,1837.9340179706112,1319.321044921875,0.3412622416560205
48487,10,195.6739501953125,2053.4142882047518,800.9813232421875,0.2761827549405005
48488,1,196.5826416015626,2150.9738144482376,817.91937255859375,0.3052451572858139
48488,3,175.9329833984374,1951.3919241610845,1014.6190185546876,0.3147734878345987
48488,4,188.59982299804688,2122.311295626044,435.2539978027344,0.2971631713291143
48488,5,205.033935546875,2236.384185841065,1516.9320068359375,0.20039626348620654
48488,6,151.5670166015625,1590.5473158357586,1722.08203125,0.3033425260107798
48488,7,198.93267059326172,1364.0392071257584,48.75572967529297,0.40234808696882773
48488,8,187.33161926269534,1466.3331450055489,247.82179260253903,0.28844716728724484
48488,9,185.198974609375,1989.7878901587924,1190.66796875,0.26436127725626535
48488,10,193.83270263671875,2097.7017188341815,623.97021484375,0.25953475330712816
48490,1,171.6834869384765,1949.444138035767,234.6623992919922,0.23843070082751328
48490,2,122.82696533203125,1377.9826111992272,864.901123046875,0.22673316162253887
48490,3,168.58258056640625,1819.4962972864885,987.82843017578125,0.36149048001038553
48490,4,186.650146484375,2053.691626425305,678.094970703125,0.26776442206002904
48490,5,173.56666946411133,1894.3766989617889,60.97903060913086,0.18510657530555719
48490,6,96.13488769531244,1079.0240210240875,406.46099853515625,0.34319999498983167
48490,7,147.700927734375,1682.2752008702441,1301.56005859375,0.4211843567179745
48490,8,122.6829833984375,1382.052069828164,1449.3780517578125,0.37289297029823754
48490,9,144.9169921875,1647.009294184543,1156.5279541015625,0.358839189083603
48490,10,175.26657104492188,1991.843700493017,502.7120056152344,0.3292131410860867
48494,1,158.03668212890625,1773.7947471879354,580.67388916015625,0.3949926228176801
48494,2,92.0836181640625,1046.3692254451048,488.47369384765625,0.6398347346507206
48494,3,143.9349365234376,1647.073915751493,963.8131103515624,0.5260348664636598
48494,4,171.78730010986328,1904.017975495133,45.14910125732422,0.40879113317409077
48494,5,153.43502807617188,1750.8174476540478,334.9383850097656,0.3109559546439251
